# CoordinateSystem: PROJCS["WGS 84 / UTM zone 39N",GEOGCS["WGS 84",DATUM["World Geodetic System 1984 ensemble",SPHEROID["WGS 84",6378137,298.257223563,AUTHORITY["EPSG","7030"]],TOWGS84[0,0,0,0,0,0,0],AUTHORITY["EPSG","6326"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.01745329251994328,AUTHORITY["EPSG","9102"]],AUTHORITY["EPSG","4326"]],PROJECTION["Transverse_Mercator",AUTHORITY["EPSG","9807"]],PARAMETER["latitude_of_origin",0],PARAMETER["central_meridian",51],PARAMETER["scale_factor",0.9996],PARAMETER["false_easting",500000],PARAMETER["false_northing",0],UNIT["metre",1,AUTHORITY["EPSG","9001"]],AUTHORITY["EPSG","32639"]]
#Label,X/Easting,Y/Northing,Z/Altitude,Omega,Phi,Kappa,X_est,Y_est,Z_est,Omega_est,Phi_est,Kappa_est
DJI_0545.JPG,789258.804960,3164823.894141,1190.870000,-0.074315,0.066913,138.000043,789257.260824,3164821.816633,1238.728638,0.502503,-0.244667,139.965137
DJI_0594.JPG,789274.051331,3164796.011879,1190.870000,-0.000000,0.000000,-42.300000,789272.197935,3164794.166293,1238.866815,-0.160527,0.238458,-36.705023
DJI_0595.JPG,789284.335561,3164808.047098,1190.970000,-0.000000,0.000000,-42.500000,789282.225782,3164805.933291,1238.753746,-0.213011,0.237294,-36.498956
DJI_0596.JPG,789294.516365,3164819.907826,1190.970000,0.000000,-0.000000,-42.900000,789292.381142,3164817.742192,1238.487006,-0.222985,0.238944,-36.524218
DJI_0597.JPG,789304.239399,3164831.152668,1190.870000,-0.000000,0.000000,-42.100000,789302.524948,3164829.409824,1238.411493,-0.242560,0.214650,-35.514528
DJI_0598.JPG,789314.293593,3164842.864967,1190.970000,0.000000,0.000000,-42.700000,789312.639868,3164841.124597,1238.419710,-0.253922,0.216860,-35.756772
DJI_0599.JPG,789324.466428,3164854.570226,1190.870000,0.000000,0.000000,-42.300000,789322.816212,3164852.836183,1238.424352,-0.283428,0.211812,-35.029290
DJI_0600.JPG,789334.940219,3164866.736650,1190.970000,0.000000,0.000000,-42.500000,789333.030735,3164864.713909,1238.552008,-0.295217,0.237988,-34.961535
DJI_0601.JPG,789345.089250,3164878.452437,1190.770000,0.000000,0.000000,-42.400000,789343.141489,3164876.504637,1238.566967,-0.297271,0.221443,-34.658578
DJI_0602.JPG,789354.808766,3164889.795975,1190.970000,0.073373,-0.067944,-42.799956,789353.281744,3164888.197187,1238.683535,-0.329779,0.261835,-34.804414
DJI_0603.JPG,789364.827242,3164901.522977,1190.870000,0.073728,-0.067559,-42.499957,789363.392734,3164899.898582,1238.433762,-0.386426,0.295398,-34.368860
