9319,2628.5254,1219.8513
24124,1513.0048,2146.0642
27632,2130.5083,1331.9663
27701,1355.4392,524.0998
27703,1164.0432,473.8419
27753,1296.7081,462.9610
27761,84.2919,316.0957
27809,1350.2883,389.2389
27811,1153.9979,410.3544
27817,237.7161,333.1595
27878,173.0122,260.4807
27879,184.9527,261.1236
27942,1343.9525,214.3351
27944,1354.6998,215.5016
27947,1227.8506,223.6346
27949,1139.9764,208.3518
27951,1040.0757,183.3804
27952,1051.9811,184.0061
27954,578.7093,145.2242
27971,1433.6417,194.9771
27972,1442.3026,204.2401
27978,992.4255,164.7522
27983,475.6636,127.9315
29233,1300.1934,514.4151
29268,1395.2506,472.1922
29269,1398.8616,462.5145
29273,1296.4806,466.5859
29282,232.9651,336.5008
29316,1439.3096,410.6901
29320,1075.8906,387.7313
29330,644.4542,330.5632
29333,288.7568,298.4450
29380,138.3741,226.3855
29440,1335.4294,225.1475
29445,1182.3290,215.8814
29449,1097.2524,214.3852
29451,1059.9893,214.0653
29453,1033.5117,187.1243
29459,590.3509,152.3452
29485,893.1368,157.7016
29492,574.9011,138.4971
29493,504.7955,127.9476
29494,469.0449,127.4716
29498,359.2198,85.7086
29524,1225.6473,147.4190
29624,1426.4423,54.3815
30917,1210.6671,500.3681
30918,350.4924,400.0839
30928,1376.8678,445.1019
30929,1275.3074,446.0073
30930,1200.6846,427.8468
30943,1261.6057,382.4572
30986,628.9810,147.4671
31353,785.3386,337.1966
31367,162.1934,122.5310
31467,1310.9282,196.4767
31519,724.3743,160.7403
31527,1164.8691,367.7773
31567,1165.2676,490.4711
31568,1149.9678,487.6605
31576,1391.6344,58.7399
31603,329.9921,391.3322
31610,582.3538,153.1514
31611,1223.2959,149.7219
31730,1397.4089,447.1652
31739,291.7526,308.6226
33032,1360.3396,403.5358
33091,1021.0045,179.7077
33138,1310.5902,1234.7004
33141,1178.7401,1194.5304
33144,808.6921,1068.2399
33181,1169.8622,1143.2300
33182,1180.4940,1182.9816
33183,877.1974,1047.6324
33184,810.8160,1028.9435
33185,820.2510,1048.0413
33187,574.1035,1105.7898
33190,485.9517,1084.0570
33235,757.6411,936.1390
33295,271.3227,947.4974
33296,233.2707,987.6976
33336,957.3288,880.5209
33340,734.2738,864.9223
33342,737.6134,833.4570
33352,300.8798,926.6136
33400,985.5238,811.9620
33402,897.3148,807.9263
33403,813.4570,805.9636
33404,796.4146,784.5845
33405,756.3767,828.5132
33409,409.1209,863.3493
33452,785.4830,730.5438
33458,590.7515,853.4088
33459,419.6386,830.6502
33460,203.2500,832.5107
33461,263.6115,817.6060
33505,785.9174,707.9005
33506,809.7845,692.7103
33508,733.7452,711.6690
33566,1387.7031,780.3116
33569,807.4590,664.5207
33570,805.2363,667.9951
33572,814.9887,654.3196
33573,705.9482,629.0080
33580,563.9976,717.5573
33587,270.7379,717.6607
33636,1253.3171,729.9774
33637,1289.6237,749.4454
33641,689.0686,617.4969
33645,552.7791,654.7540
33703,1308.5146,656.6366
33781,1244.5275,592.8353
33783,941.8931,483.5921
33787,861.9388,490.4072
33801,158.0860,520.8868
33854,1324.9423,598.2752
33857,906.2004,438.0602
33858,769.1461,447.2410
33859,775.5324,450.1683
33865,383.6172,504.9904
33870,235.8470,468.0009
33872,151.9357,488.4856
34041,1329.4215,339.2071
34047,2508.0754,556.5846
34855,1260.7505,1166.9054
34857,815.8442,1046.8220
34859,821.0607,1043.7150
34867,509.8403,1097.4525
34868,566.6119,1109.8267
34869,517.5568,1094.4822
34870,536.0403,1099.4968
34875,323.9946,1060.3898
34940,330.7162,1031.4355
34943,338.0399,1016.1472
35004,502.6514,1004.5185
35006,204.0303,982.1099
35007,231.7977,991.6863
35008,237.4652,994.2634
35058,949.0338,878.6709
35062,679.6038,855.0604
35067,419.9409,906.5748
35112,1233.7490,881.3543
35125,537.7883,902.1818
35165,1445.4000,907.1085
35166,936.9432,773.7997
35174,590.4754,856.1768
35180,271.0083,816.5428
35220,1404.8883,860.1938
35293,1381.7800,770.4075
35295,707.9985,621.1055
35310,19.7584,672.5308
35344,1283.6534,750.0159
35401,1444.4182,673.9820
35407,1253.9447,668.5488
35473,1208.0876,626.4598
35475,945.3557,483.4638
35528,1454.8503,564.7002
35529,1319.9406,601.0499
35532,772.3889,454.5865
35533,699.7946,412.6226
35545,157.4223,494.3275
35548,57.0353,491.9572
35582,1274.7972,504.0880
35584,818.6696,375.7122
35644,1220.7133,413.4060
35645,1138.3605,384.0126
35682,286.6011,292.1913
35733,1132.9521,215.9305
35734,1069.9880,203.4607
35747,1476.7018,229.9402
35748,1461.6595,231.3229
35750,1345.5082,219.3548
35761,1492.6036,146.4277
36322,894.8337,1066.6134
36379,447.4740,878.8855
36402,809.5258,680.1409
36412,1288.8997,761.4811
36414,559.4239,727.6096
36418,22.1641,669.3314
36429,388.4016,686.8096
36488,16.9766,393.9002
36533,1236.9213,224.1902
36546,971.5624,123.2552
36725,757.9290,933.4420
36757,271.2905,880.1160
36768,1430.8173,899.2546
36791,418.4387,701.7411
36804,97.4563,631.8227
36841,1321.3237,594.2680
36842,1269.8652,582.6747
36843,1241.5176,577.1606
36857,76.6440,401.4105
36885,1451.7950,385.7941
36886,1081.8167,286.6445
36888,867.4951,300.5854
36890,820.6900,311.3804
36908,482.3059,124.1828
37027,1401.0270,1232.0573
37028,1408.5179,1238.8711
37047,1150.6613,976.1420
37067,780.3149,802.1187
37091,1418.4027,657.1440
37097,870.7753,460.4452
37124,1283.5079,158.1049
37171,825.1300,788.5552
37173,326.4271,893.5964
37190,1259.3177,740.1928
37208,1417.7546,659.7094
37262,1386.4822,1227.5839
37288,1184.0157,1187.3932
37316,1067.8049,337.4593
37317,1190.1942,967.0310
37343,763.3705,448.6865
37367,752.2585,159.7027
37387,517.8973,853.8528
37424,483.1363,905.0986
