140.0,780831.28,3197875.558,1296.747
141.0,780830.08,3197877.345,1296.803
142.0,780825.984,3197881.187,1296.823
143.0,780825.386,3197882.985,1296.879
144.0,780820.895,3197883.849,1292.725
145.0,780820.405,3197884.076,1292.679
146.0,780819.252,3197886.181,1292.602
147.0,780818.027,3197887.399,1292.626
148.0,780809.236,3197896.562,1292.773
149.0,780809.321,3197896.441,1292.747
150.0,780809.204,3197896.501,1292.783
151.0,780807.898,3197898.534,1292.803
152.0,780805.464,3197902.049,1292.8
153.0,780803.74,3197903.285,1292.959
154.0,780800.236,3197908.219,1293.548
155.0,780799.011,3197909.857,1293.837
156.0,780798.778,3197909.831,1293.825
157.0,780796.21,3197911.939,1293.686
158.0,780794.07,3197915.162,1293.749
159.0,780794.723,3197915.693,1297.345
160.0,780865.724,3197837.278,1293.287
161.0,780866.24,3197837.549,1293.301
162.0,780864.899,3197839.272,1293.418
163.0,780861.679,3197842.951,1294.513
164.0,780861.247,3197843.345,1294.347
165.0,780861.073,3197843.161,1294.165
166.0,780860.146,3197843.11,1293.746
167.0,780855.508,3197851.376,1296.619
168.0,780851.542,3197854.63,1296.522
169.0,780851.69,3197854.757,1296.5
170.0,780851.07,3197855.902,1296.495
171.0,780848.345,3197857.598,1293.724
172.0,780846.139,3197859.66,1293.559
173.0,780845.921,3197859.385,1293.563
174.0,780834.567,3197873.891,1296.93
175.0,780833.874,3197875.377,1296.802
176.0,780832.347,3197876.807,1296.82
177.0,780826.706,3197882.369,1296.849
178.0,780823.947,3197883.643,1293.468
179.0,780822.731,3197884.886,1292.873
180.0,780821.035,3197886.552,1292.744
181.0,780816.458,3197891.956,1292.901
182.0,780814.152,3197892.96,1292.71
183.0,780812.223,3197896.462,1292.77
184.0,780812.484,3197895.662,1292.753
185.0,780808.203,3197899.312,1292.879
186.0,780809.117,3197899.329,1292.817
187.0,780807.516,3197901.173,1292.827
188.0,780804.832,3197903.665,1292.864
189.0,780805.381,3197902.865,1292.826
190.0,780801.352,3197910.805,1297.376
191.0,780795.059,3197917.647,1297.131
192.0,780794.351,3197918.307,1297.116
193.0,780792.343,3197921.033,1297.123
194.0,780865.576,3197839.407,1293.496
195.0,780854.042,3197854.358,1296.483
196.0,780853.462,3197853.898,1296.445
197.0,780853.931,3197854.277,1296.468
198.0,780854.21,3197854.472,1296.465
199.0,780848.619,3197858.524,1293.615
200.0,780841.533,3197865.72,1293.017
201.0,780837.776,3197868.92,1293.261
202.0,780837.16,3197870.61,1294.171
203.0,780835.197,3197874.307,1296.887
204.0,780835.62,3197874.572,1296.899
205.0,780831.188,3197878.721,1296.792
206.0,780830.421,3197880.459,1296.832
207.0,780828.434,3197882.139,1296.845
